"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 03월 27일","7,568.50","7,882.75","7,893.25","7,551.25","-","-3.51%"
"2020년 03월 26일","7,844.00","7,483.50","7,893.50","7,310.25","-","5.04%"
"2020년 03월 25일","7,467.75","7,544.75","7,761.00","7,371.50","-","-1.15%"
"2020년 03월 24일","7,554.75","7,005.75","7,572.25","7,005.75","-","8.16%"
"2020년 03월 23일","6,984.50","6,798.00","7,316.25","6,628.75","-","-5.84%"
"2020년 03월 20일","7,417.98","7,195.00","7,649.00","7,153.50","-","1.71%"
"2020년 03월 19일","7,293.50","7,251.75","7,521.50","6,894.25","115.52K","0.94%"
"2020년 03월 18일","7,225.25","7,386.00","7,392.25","6,830.00","156.28K","-2.43%"
"2020년 03월 17일","7,405.25","7,053.00","7,552.25","6,948.75","317.50K","4.93%"
"2020년 03월 16일","7,057.50","7,903.00","7,905.25","6,927.00","307.37K","-10.84%"
"2020년 03월 13일","7,915.75","7,100.00","7,978.00","6,942.50","584.27K","9.71%"
"2020년 03월 12일","7,215.25","7,998.75","8,108.00","7,128.50","876.29K","-9.85%"
"2020년 03월 11일","8,003.50","8,317.00","8,334.25","7,892.75","990.24K","-3.94%"
"2020년 03월 10일","8,331.50","7,893.75","8,378.75","7,814.25","982.07K","4.78%"
"2020년 03월 09일","7,951.50","8,369.00","8,375.00","7,820.00","560.91K","-6.49%"
"2020년 03월 06일","8,503.25","8,677.00","8,726.50","8,310.50","1.10M","-1.68%"
"2020년 03월 05일","8,648.75","8,889.00","8,899.75","8,610.75","954.10K","-2.78%"
"2020년 03월 04일","8,896.50","8,557.50","8,950.00","8,508.25","939.03K","3.66%"
"2020년 03월 03일","8,582.50","8,830.50","9,002.50","8,511.00","1.30M","-2.37%"
"2020년 03월 02일","8,791.25","8,349.25","8,883.25","8,224.25","1.37M","3.99%"
"2020년 02월 28일","8,454.00","8,347.00","8,574.75","8,126.25","1.53M","0.85%"
"2020년 02월 27일","8,382.75","8,811.50","8,878.50","8,334.25","1.58M","-5.28%"
"2020년 02월 26일","8,850.25","8,868.25","9,037.50","8,709.50","1.25M","-0.05%"
"2020년 02월 25일","8,854.25","9,091.00","9,224.25","8,810.00","1.34M","-2.60%"
